cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
1,Mary Phiri,261000000000.0,mary.phiri@email.com,Female,15/05/1990,Zambian,Lusaka,Lusaka,Bachelor's,University of Zambia,2013,Computer Science,"AWS Certified, PMP","English,Bemba",Fluent,8,Senior Software Engineer,Employed,Full-time,Lusaka,18000,25000,2 weeks,"Python, Java, React, AWS, Docker, Kubernetes","Leadership, Problem-solving, Communication","[{""title"":""Senior Software Engineer""","company:""Zambia National Commercial Bank""","location:""Lusaka""","start_date:""2018-03""",,,,,,,,,,,,,,,,,,,,,,,
2,John Mulenga,261000000000.0,john.mulenga@email.com,Male,22/11/1988,Zambian,Ndola,Copperbelt,Master's,Copperbelt University,2011,Civil Engineering,"PE License, PMP","English,Bemba",Fluent,12,Civil Engineer,Employed,Full-time,Copperbelt,16000,22000,1 month,"AutoCAD, Revit, Project Management, Structural Analysis","Team Management, Client Relations, Negotiation","[{""title"":""Senior Civil Engineer""","company:""China Henan International""","location:""Ndola""","start_date:""2016-07""",,,,,,,,,,,,,,,,,,,,,,,
3,Joseph Tembo,261000000000.0,joseph.tembo@email.com,Male,08/03/1992,Zambian,Kitwe,Copperbelt,Diploma,Technical and Vocational Teachers' College,2014,Electrical Engineering,"Electrician License, OSHA","English,Bemba,Nyanja",Intermediate,7,Electrical Technician,Employed,Full-time,Copperbelt,8000,12000,2 weeks,"Electrical Systems, PLC Programming, Maintenance, Safety Protocols","Attention to Detail, Problem-solving, Teamwork","[{""title"":""Electrical Technician""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2017-01""",,,,,,,,,,,,,,,,,,,,,,,
4,Agness Mwale,261000000000.0,agness.mwale@email.com,Female,30/07/1995,Zambian,Livingstone,Southern,Bachelor's,Rusangu University,2017,Nursing,"RN License, BLS Certified","English,Tonga,Lozi",Fluent,4,Registered Nurse,Employed,Full-time,Livingstone,7000,10000,1 month,"Patient Care, Medication Administration, EHR, Emergency Response","Empathy, Communication, Stress Management","[{""title"":""Registered Nurse""","company:""Livingstone General Hospital""","location:""Livingstone""","start_date:""2018-02""",,,,,,,,,,,,,,,,,,,,,,,
5,Peter Sakala,261000000000.0,peter.sakala@email.com,Male,14/12/1985,Zambian,Chipata,Eastern,Certificate,Evelyn Hone College,2006,Automotive Mechanics,"ASE Certified, Driver's License","English,Nyanja,Chewa",Basic,15,Automotive Technician,Self-Employed,Contract,Chipata,6000,9000,Immediate,"Engine Repair, Diagnostics, Brake Systems, Transmission","Customer Service, Time Management, Technical Skills","[{""title"":""Owner/Technician""","company:""Peter's Auto Repair""","location:""Chipata""","start_date:""2012-05""",,,,,,,,,,,,,,,,,,,,,,,
6,Grace Bwalya,261000000000.0,grace.bwalya@email.com,Female,18/09/1993,Zambian,Kabwe,Central,Bachelor's,Zambian Open University,2015,Human Resources,"SHRM Certified, HR Management","English,Bemba",Fluent,6,HR Officer,Employed,Full-time,Kabwe,9000,14000,3 weeks,"Recruitment, Employee Relations, Payroll, Labor Laws","Conflict Resolution, Organization, Communication","[{""title"":""HR Officer""","company:""Zambia Sugar""","location:""Mazabuka""","start_date:""2018-04""",,,,,,,,,,,,,,,,,,,,,,,
7,Charles Mumba,261000000000.0,charles.mumba@email.com,Male,25/04/1991,Zambian,Solwezi,North-Western,Bachelor's,Copperbelt University,2013,Geology,"GIS Certified, First Aid","English,Kaonde,Lunda",Intermediate,8,Geologist,Employed,Full-time,North-Western,13000,18000,1 month,"Geological Mapping, GIS, Data Analysis, Field Work","Analytical Thinking, Report Writing, Team Leadership","[{""title"":""Senior Geologist""","company:""First Quantum Minerals""","location:""Solwezi""","start_date:""2017-08""",,,,,,,,,,,,,,,,,,,,,,,
8,Elizabeth Kunda,261000000000.0,elizabeth.kunda@email.com,Female,11/08/1989,Zambian,Mongu,Western,Master's,University of Zambia,2012,Education,"Teaching License, TEFL","English,Lozi,Silozzi",Fluent,9,High School Teacher,Employed,Full-time,Mongu,8000,11000,2 months,"Curriculum Development, Classroom Management, Educational Technology","Patience, Creativity, Mentoring","[{""title"":""Senior Teacher""","company:""Mongu Secondary School""","location:""Mongu""","start_date:""2015-01""",,,,,,,,,,,,,,,,,,,,,,,
9,Joyce Chanda,261000000000.0,joyce.chanda@email.com,Female,07/01/1994,Zambian,Kasama,Northern,Bachelor's,Northern Technical College,2015,Accounting,"ACCA, CPA Zambia","English,Bemba",Fluent,6,Accountant,Employed,Full-time,Kasama,10000,15000,3 weeks,"QuickBooks, Excel, Tax Preparation, Financial Analysis","Attention to Detail, Integrity, Analytical","[{""title"":""Accountant""","company:""ZANACO""","location:""Kasama""","start_date:""2017-03""",,,,,,,,,,,,,,,,,,,,,,,
10,Catherine Zimba,261000000000.0,catherine.zimba@email.com,Female,03/11/1996,Zambian,Choma,Southern,Diploma,Livingstone Institute of Business,2016,Marketing,"Digital Marketing Certified, Google Analytics","English,Tonga",Intermediate,3,Marketing Assistant,Employed,Full-time,Choma,5000,7500,2 weeks,"Social Media Management, Content Creation, SEO, Google Ads","Creativity, Communication, Adaptability","[{""title"":""Marketing Assistant""","company:""Zambia National Broadcasting""","location:""Lusaka""","start_date:""2018-09""",,,,,,,,,,,,,,,,,,,,,,,
