,cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
0,1,Mary Phiri,261000000000.0,mary.phiri@email.com,Female,15/05/1990,Zambian,Lusaka,Lusaka,Bachelor's,University of Zambia,2013,Computer Science,"AWS Certified, PMP","English,Bemba",Fluent,8,Senior Software Engineer,Employed,Full-time,Lusaka,18000,25000,2 weeks,"Python, Java, React, AWS, Docker, Kubernetes","Leadership, Problem-solving, Communication","[{""title"":""Senior Software Engineer""","company:""Zambia National Commercial Bank""","location:""Lusaka""","start_date:""2018-03""",,,,,,,,,,,,,,,,,,,,,,,
1,2,John Mulenga,261000000000.0,john.mulenga@email.com,Male,22/11/1988,Zambian,Ndola,Copperbelt,Master's,Copperbelt University,2011,Civil Engineering,"PE License, PMP","English,Bemba",Fluent,12,Civil Engineer,Employed,Full-time,Copperbelt,16000,22000,1 month,"AutoCAD, Revit, Project Management, Structural Analysis","Team Management, Client Relations, Negotiation","[{""title"":""Senior Civil Engineer""","company:""China Henan International""","location:""Ndola""","start_date:""2016-07""",,,,,,,,,,,,,,,,,,,,,,,
2,3,Joseph Tembo,261000000000.0,joseph.tembo@email.com,Male,08/03/1992,Zambian,Kitwe,Copperbelt,Diploma,Technical and Vocational Teachers' College,2014,Electrical Engineering,"Electrician License, OSHA","English,Bemba,Nyanja",Intermediate,7,Electrical Technician,Employed,Full-time,Copperbelt,8000,12000,2 weeks,"Electrical Systems, PLC Programming, Maintenance, Safety Protocols","Attention to Detail, Problem-solving, Teamwork","[{""title"":""Electrical Technician""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2017-01""",,,,,,,,,,,,,,,,,,,,,,,
4,5,Peter Sakala,261000000000.0,peter.sakala@email.com,Male,14/12/1985,Zambian,Chipata,Eastern,Certificate,Evelyn Hone College,2006,Automotive Mechanics,"ASE Certified, Driver's License","English,Nyanja,Chewa",Basic,15,Automotive Technician,Self-Employed,Contract,Chipata,6000,9000,Immediate,"Engine Repair, Diagnostics, Brake Systems, Transmission","Customer Service, Time Management, Technical Skills","[{""title"":""Owner/Technician""","company:""Peter's Auto Repair""","location:""Chipata""","start_date:""2012-05""",,,,,,,,,,,,,,,,,,,,,,,
5,6,Grace Bwalya,261000000000.0,grace.bwalya@email.com,Female,18/09/1993,Zambian,Kabwe,Central,Bachelor's,Zambian Open University,2015,Human Resources,"SHRM Certified, HR Management","English,Bemba",Fluent,6,HR Officer,Employed,Full-time,Kabwe,9000,14000,3 weeks,"Recruitment, Employee Relations, Payroll, Labor Laws","Conflict Resolution, Organization, Communication","[{""title"":""HR Officer""","company:""Zambia Sugar""","location:""Mazabuka""","start_date:""2018-04""",,,,,,,,,,,,,,,,,,,,,,,
6,7,Charles Mumba,261000000000.0,charles.mumba@email.com,Male,25/04/1991,Zambian,Solwezi,North-Western,Bachelor's,Copperbelt University,2013,Geology,"GIS Certified, First Aid","English,Kaonde,Lunda",Intermediate,8,Geologist,Employed,Full-time,North-Western,13000,18000,1 month,"Geological Mapping, GIS, Data Analysis, Field Work","Analytical Thinking, Report Writing, Team Leadership","[{""title"":""Senior Geologist""","company:""First Quantum Minerals""","location:""Solwezi""","start_date:""2017-08""",,,,,,,,,,,,,,,,,,,,,,,
7,8,Elizabeth Kunda,261000000000.0,elizabeth.kunda@email.com,Female,11/08/1989,Zambian,Mongu,Western,Master's,University of Zambia,2012,Education,"Teaching License, TEFL","English,Lozi,Silozzi",Fluent,9,High School Teacher,Employed,Full-time,Mongu,8000,11000,2 months,"Curriculum Development, Classroom Management, Educational Technology","Patience, Creativity, Mentoring","[{""title"":""Senior Teacher""","company:""Mongu Secondary School""","location:""Mongu""","start_date:""2015-01""",,,,,,,,,,,,,,,,,,,,,,,
8,9,Joyce Chanda,261000000000.0,joyce.chanda@email.com,Female,07/01/1994,Zambian,Kasama,Northern,Bachelor's,Northern Technical College,2015,Accounting,"ACCA, CPA Zambia","English,Bemba",Fluent,6,Accountant,Employed,Full-time,Kasama,10000,15000,3 weeks,"QuickBooks, Excel, Tax Preparation, Financial Analysis","Attention to Detail, Integrity, Analytical","[{""title"":""Accountant""","company:""ZANACO""","location:""Kasama""","start_date:""2017-03""",,,,,,,,,,,,,,,,,,,,,,,
9,10,Catherine Zimba,261000000000.0,catherine.zimba@email.com,Female,03/11/1996,Zambian,Choma,Southern,Diploma,Livingstone Institute of Business,2016,Marketing,"Digital Marketing Certified, Google Analytics","English,Tonga",Intermediate,3,Marketing Assistant,Employed,Full-time,Choma,5000,7500,2 weeks,"Social Media Management, Content Creation, SEO, Google Ads","Creativity, Communication, Adaptability","[{""title"":""Marketing Assistant""","company:""Zambia National Broadcasting""","location:""Lusaka""","start_date:""2018-09""",,,,,,,,,,,,,,,,,,,,,,,
10,11,Moses Ngoma,261000000000.0,moses.ngoma@email.com,Male,12/06/1987,Zambian,Mansa,Luapula,Bachelor's,University of Lusaka,2009,Business Administration,"PMP, Six Sigma","English,Bemba,Lunda",Fluent,10,Operations Manager,Employed,Full-time,Luapula,14000,19000,1 month,"Process Improvement, Budget Management, Supply Chain","Strategic Planning, Leadership, Decision-making","[{""title"":""Operations Manager""","company:""Zambeef Products""","location:""Lusaka""","start_date:""2015-11""",,,,,,,,,,,,,,,,,,,,,,,
11,12,Patrick Chola,261000000000.0,patrick.chola@email.com,Male,28/02/1990,Zambian,Mazabuka,Southern,Diploma,Monte Cassino TTC,2011,Agriculture,"Agronomy Certified, Pesticide Application","English,Tonga",Intermediate,8,Agricultural Officer,Employed,Full-time,Southern,7500,10500,3 weeks,"Crop Management, Soil Analysis, Irrigation Systems","Problem-solving, Teaching, Community Engagement","[{""title"":""Agricultural Officer""","company:""Ministry of Agriculture""","location:""Mazabuka""","start_date:""2014-07""",,,,,,,,,,,,,,,,,,,,,,,
12,13,Beatrice Kabwe,261000000000.0,beatrice.kabwe@email.com,Female,05/12/1993,Zambian,Chililabombwe,Copperbelt,Bachelor's,Copperbelt University,2014,Environmental Science,"NEBOSH, Environmental Impact Assessment","English,Bemba",Fluent,5,Environmental Officer,Employed,Full-time,Copperbelt,9500,13000,2 weeks,"Environmental Monitoring, Compliance, Waste Management","Analytical Skills, Report Writing, Stakeholder Engagement","[{""title"":""Environmental Officer""","company:""Konkola Copper Mines""","location:""Chililabombwe""","start_date:""2017-02""",,,,,,,,,,,,,,,,,,,,,,,
13,14,Christopher Mwaba,261000000000.0,christopher.mwaba@email.com,Male,17/09/1986,Zambian,Kalulushi,Copperbelt,Certificate,Kitwe Trades Training Institute,2007,Mechanical Fitting,"Trade Test, Safety Certified","English,Bemba",Basic,12,Mechanical Fitter,Employed,Full-time,Copperbelt,8500,11500,1 month,"Machine Maintenance, Welding, Fabrication, Blueprint Reading","Technical Skills, Teamwork, Safety Consciousness","[{""title"":""Mechanical Fitter""","company:""First Quantum Minerals""","location:""Kalulushi""","start_date:""2013-05""",,,,,,,,,,,,,,,,,,,,,,,
14,15,Kennedy Mwanza,261000000000.0,kennedy.mwanza@email.com,Male,22/07/1991,Zambian,Chinsali,Muchinga,Bachelor's,Mukuba University,2013,Information Technology,"CCNA, Microsoft Certified","English,Bemba",Fluent,6,IT Support Specialist,Employed,Full-time,Muchinga,8000,12000,2 weeks,"Network Administration, Hardware Repair, Software Support","Customer Service, Troubleshooting, Communication","[{""title"":""IT Support Specialist""","company:""Ministry of Education""","location:""Chipata""","start_date:""2016-09""",,,,,,,,,,,,,,,,,,,,,,,
15,16,Esther Chama,261000000000.0,esther.chama@email.com,Female,14/04/1994,Zambian,Mpika,Muchinga,Diploma,Nkrumah Teachers College,2014,Early Childhood Education,"Teaching License, Child Development","English,Bemba",Intermediate,5,Preschool Teacher,Employed,Full-time,Muchinga,5500,8000,1 month,"Child Development, Lesson Planning, Classroom Management","Patience, Creativity, Communication","[{""title"":""Preschool Teacher""","company:""Little Angels School""","location:""Mpika""","start_date:""2016-03""",,,,,,,,,,,,,,,,,,,,,,,
16,17,Francis Mpundu,261000000000.0,francis.mpundu@email.com,Male,30/01/1989,Zambian,Kalomo,Southern,Bachelor's,Zambia Catholic University,2011,Social Work,"Social Work License, Counseling","English,Tonga",Fluent,8,Social Worker,Employed,Full-time,Southern,7000,10000,3 weeks,"Case Management, Counseling, Community Development","Empathy, Active Listening, Cultural Sensitivity","[{""title"":""Social Worker""","company:""Ministry of Community Development""","location:""Livingstone""","start_date:""2015-04""",,,,,,,,,,,,,,,,,,,,,,,
